			Номер страницы		SLP1		SLP1		IAST  + фopмa		RUS		ENG		CHEH	
<L>	1	<pc>	11	<K1>	a	</K1><K2>	a	</K2>@<K2>	I a- pron., cf. a-tas, a-tra &c.	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	2	<pc>	11	<K1>	a	</K1><K2>	a	</K2>@<K2>	II a- augment	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	3	<pc>	11	<K1>	a	</K1><K2>	a	</K2>@<K2>	III a-, an- a privativum	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	4	<pc>	11	<K1>	aMk	</K1><K2>	aMk	</K2>@<K2>	aṃk-, aṃg-, aṃj-, aṃḍ-, aṃt-, aṃdh-, aṃb-, aṃbh- v. aṅk-, aṅg-, añj-, aṇḍ-, ant-, andh-, amb-, ambh-	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	5	<pc>	11	<K1>	aMSa	</K1><K2>	aMSa	</K2>@<K2>	aṃśa m.	</K2><p><LANG n = "RUSSIAN">	доля, удел, часть	</LANG><p><LANG n = "ENGLISH">	a share, portion, part	</LANG><p><LANG n = "CZECH">	podíl, díl, část	<p>@<LEND>
<L>	6	<pc>	11	<K1>	amSu	</K1><K2>	amSu	</K2>@<K2>	amśu m.	</K2><p><LANG n = "RUSSIAN">	стебель растения сомы, луч	</LANG><p><LANG n = "ENGLISH">	stem of the soma plant, a sun beam	</LANG><p><LANG n = "CZECH">	stonek somové rostliny, paprsek	<p>@<LEND>
<L>	7	<pc>	11	<K1>	aMSumant	</K1><K2>	aMSumant	</K2>@<K2>	aṃśumant	</K2><p><LANG n = "RUSSIAN">	богатый сомой, сияющий; m. солнце	</LANG><p><LANG n = "ENGLISH">	rich in Soma, radiant; m. the sun 	</LANG><p><LANG n = "CZECH">	bohatý nа somu, zářící; m. slunce	<p>@<LEND>
<L>	8	<pc>	11	<K1>	aMsa	</K1><K2>	aMsa	</K2>@<K2>	aṃsa m.	</K2><p><LANG n = "RUSSIAN">	бедра, плечи	</LANG><p><LANG n = "ENGLISH">	the shoulder 	</LANG><p><LANG n = "CZECH">	bedra, ramena 	<p>@<LEND>
<L>	9	<pc>	11	<K1>	aMhas	</K1><K2>	aMhas	</K2>@<K2>	aṃhas n.	</K2><p><LANG n = "RUSSIAN">	стеснение, затруднение	</LANG><p><LANG n = "ENGLISH">	anxiety, distress	</LANG><p><LANG n = "CZECH">	tíseň, obtíž	<p>@<LEND>
<L>	10	<pc>	11	<K1>	akampa	</K1><K2>	akampa	</K2>@<K2>	akampa	</K2><p><LANG n = "RUSSIAN">	неподвижный, крепкий	</LANG><p><LANG n = "ENGLISH">	motionless, firm	</LANG><p><LANG n = "CZECH">	nehybný, pevný	<p>@<LEND>
<L>	11	<pc>	11	<K1>	akartavya	</K1><K2>	akartavya	</K2>@<K2>	akartavya	</K2><p><LANG n = "RUSSIAN">	тот, который не должен быть сделан	</LANG><p><LANG n = "ENGLISH">	not to be done	</LANG><p><LANG n = "CZECH">	nemající býti (u) dělán	<p>@<LEND>
<L>	12	<pc>	11	<K1>	akasmAt	</K1><K2>	akasmAt	</K2>@<K2>	akasmāt adv.	</K2><p><LANG n = "RUSSIAN">	неожиданно, внезапно	</LANG><p><LANG n = "ENGLISH">	unexpectedly, suddenly 	</LANG><p><LANG n = "CZECH">	nečekaně, náhle	<p>@<LEND>
<L>	13	<pc>	11	<K1>	akAma	</K1><K2>	akAma	</K2>@<K2>	akāma	</K2><p><LANG n = "RUSSIAN">	нежелающий, неохотный	</LANG><p><LANG n = "ENGLISH">	without desire, unwilling 	</LANG><p><LANG n = "CZECH">	netoužící, neochotný	<p>@<LEND>
<L>	14	<pc>	11	<K1>	akAraRAt	</K1><K2>	akAraRAt	</K2>@<K2>	akāraṇāt adv.	</K2><p><LANG n = "RUSSIAN">	без причины	</LANG><p><LANG n = "ENGLISH">	causelessly 	</LANG><p><LANG n = "CZECH">	bez příčiny	<p>@<LEND>
<L>	15	<pc>	11	<K1>	akArya	</K1><K2>	akArya	</K2>@<K2>	akārya v. akartavya	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	16	<pc>	11	<K1>	akAla	</K1><K2>	akAla	</K2>@<K2>	akāla m.	</K2><p><LANG n = "RUSSIAN">	неподходящее время, неправильное время	</LANG><p><LANG n = "ENGLISH">	а wrong time, not а right time	</LANG><p><LANG n = "CZECH">	nevhodný čas, nepravý čas	<p>@<LEND>
